Name of the company,Average employee rating (out of 5) based on reviews,Total number of employee reviews,Critical Rated for,Number of salary entries submitted by employees,Count of interview experiences shared,Active job listings on AmbitionBox,"Number of benefit reviews (insurance, WFH, leaves, etc.)",Number of company photos uploaded by employees
Kaddacon Systems,4.5,341,"Company Culture, Work Life Balance, Work Satisfaction",--,17,--,--,2
NXP Semiconductors,3.6,341,"Promotions / Appraisal, Job Security, Work Satisfaction",2.5k,47,17,24,--
Zuari Cement,4.3,341,"Job Security, Work Life Balance, Company Culture",1.2k,21,1,29,1
Cotmac Electronics,3.7,341,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",1.5k,23,21,13,--
Awign Enterprises,3.6,341,"Promotions / Appraisal, Job Security, Salary & Benefits",1.1k,41,98,12,2
Urban Ladder,3.6,341,"Promotions / Appraisal, Job Security, Salary & Benefits",1.5k,45,--,30,17
Hical Technologies,3.6,341,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1.6k,23,10,24,--
63 Moons Technologies,3.6,341,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",1.9k,29,12,31,--
MapmyIndia,3.5,341,Job Security,1.8k,30,5,23,--
Stellar Innovations,3.4,341,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",1.9k,26,9,16,2
R&R Limousine And Bus,4.0,340,"Job Security, Company Culture, Work Life Balance",122,--,--,29,--
DISYS,3.1,340,"Job Security, Company Culture, Work Satisfaction",2.1k,28,--,20,--
DISYS,3.1,340,"Job Security, Company Culture, Work Satisfaction",2.1k,28,--,20,--
ACB (India),3.7,340,"Job Security, Work Life Balance",1.4k,19,--,34,4
Hindustan Syringes & Medical Devices,3.9,340,"Job Security, Salary & Benefits, Work Life Balance",1k,23,5,28,1
Halonix Technologies,3.8,340,"Company Culture, Work Life Balance, Salary & Benefits",1.3k,17,2,26,1
Asti Electronics India,4.1,340,"Company Culture, Work Life Balance, Job Security",1.3k,24,--,45,2
Kyndal India,3.6,340,Work Life Balance,3.2k,5,--,46,--
Synergies Castings,3.8,341,"Job Security, Work Life Balance, Skill Development / Learning",729,13,--,10,6
Escon Elevators,3.7,339,"Promotions / Appraisal, Company Culture",927,26,10,41,42
Protiviti India Member,2.8,340,"Promotions / Appraisal, Work Satisfaction, Company Culture",1.6k,35,106,10,--
MYCPE ONE,3.9,340,"Skill Development / Learning, Salary & Benefits, Company Culture",1k,24,24,33,--
TMF Group,3.7,339,Work Life Balance,1.8k,25,56,23,--
Parul University,3.4,339,"Promotions / Appraisal, Salary & Benefits, Company Culture",1.1k,25,11,30,7
Hygienic Research Institute,3.8,339,"Work Life Balance, Company Culture, Salary & Benefits",1.1k,17,2,38,--
Borosil Glass Works,3.8,339,Salary & Benefits,1.6k,13,1,22,--
EPIQ Systems,3.5,339,Work Life Balance,1.9k,17,5,31,10
RSWM,4.1,339,"Company Culture, Work Life Balance, Job Security",991,15,2,46,--
Data-Core Systems,3.0,340,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",1.1k,20,4,37,--
Slice,3.1,339,"Promotions / Appraisal, Job Security, Company Culture",2k,47,15,6,--
AceMicromatic Group,4.2,339,"Company Culture, Job Security, Work Life Balance",1.2k,19,--,38,3
Delhi Metro Rail Corporation,4.2,339,"Work Life Balance, Company Culture, Work Satisfaction",1k,16,--,33,--
Technicolor,3.5,338,"Job Security, Promotions / Appraisal, Salary & Benefits",1.9k,24,2,47,--
Delhi Metro Rail Corporation,4.2,339,"Work Life Balance, Company Culture, Work Satisfaction",1k,16,--,33,--
National Highways Authority of India,3.8,338,"Promotions / Appraisal, Job Security",1.2k,25,--,12,1
Swiss Re,3.7,338,"Work Life Balance, Company Culture",2.7k,44,214,29,--
Lobo Staffing Solutions,4.1,338,"Company Culture, Work Life Balance, Work Satisfaction",1.2k,18,--,20,--
Eclat Health Solutions,3.9,338,"Job Security, Company Culture, Work Life Balance",1.1k,61,7,7,6
Essilor,4.0,339,"Company Culture, Work Life Balance, Job Security",1.4k,15,9,23,--
Technocon Services,3.5,339,"Promotions / Appraisal, Salary & Benefits, Company Culture",830,43,--,15,--
Globtier Infotech Limited,3.3,338,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",1.8k,20,8,18,--
Shaadi.com,3.5,339,"Job Security, Promotions / Appraisal, Work Life Balance",1.2k,33,9,10,--
R.K.M Powergen,4.0,338,"Work Life Balance, Work Satisfaction, Job Security",1.1k,24,--,28,4
Yara Fertilisers,3.8,337,Salary & Benefits,1k,20,--,32,--
CESC,3.7,337,Job Security,1.5k,35,--,38,--
Nutricia,3.4,337,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",623,22,--,8,--
ZUCOL Services,3.6,342,"Salary & Benefits, Promotions / Appraisal, Work Life Balance",689,76,4,9,20
eMudhra,3.6,337,"Job Security, Promotions / Appraisal, Work Satisfaction",1.6k,20,1,15,6
Mahindra Insurance Brokers,3.3,337,"Promotions / Appraisal, Work Satisfaction, Job Security",984,11,4,39,--
Theme Engineering Services,3.7,337,Work Life Balance,1k,13,5,23,--
Pfizer Products India,3.9,337,"Work Life Balance, Company Culture, Skill Development / Learning",1.3k,10,--,31,--
Council of Scientific and Industrial Research,4.0,337,"Work Life Balance, Skill Development / Learning, Company Culture",1.2k,25,--,9,--
A-1 Fence Products,4.0,337,"Company Culture, Job Security, Skill Development / Learning",955,53,--,48,28
Groww,3.6,336,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",2.3k,77,10,15,3
TCI Supply Chain Solutions,4.0,336,"Job Security, Skill Development / Learning, Company Culture",849,18,--,28,1
Arzooo.com,2.6,336,"Job Security, Company Culture, Promotions / Appraisal",1.2k,25,--,13,--
Rashtriya Chemicals and Fertilizers,4.4,335,"Job Security, Work Life Balance, Company Culture",842,18,--,17,--
Sakthi Auto Components,3.1,335,"Promotions / Appraisal, Salary & Benefits, Company Culture",1k,10,--,25,--
Zf Wind Power,4.1,335,"Job Security, Company Culture, Work Life Balance",1.5k,18,--,38,--
Kushal's Fashion Jewellery,4.4,335,"Job Security, Skill Development / Learning, Work Life Balance",629,36,116,7,75
Choice Consultancy Services,3.6,335,"Job Security, Promotions / Appraisal, Company Culture",1k,16,--,6,--
Multiplier Brand Solutions,3.7,339,"Promotions / Appraisal, Job Security, Company Culture",871,11,2,29,1
Satin Finserv,3.8,335,"Work Life Balance, Salary & Benefits",638,14,5,4,2
Orchid Pharma,3.6,335,Job Security,1.1k,45,--,17,--
Furukawa Minda Electric,4.2,334,"Company Culture, Work Life Balance, Work Satisfaction",952,7,--,30,2
Lam Research,3.8,334,"Company Culture, Salary & Benefits",2.4k,56,36,28,--
Kraft Heinz Company,2.9,334,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",1.3k,26,46,28,1
RNFI Services,3.3,334,"Job Security, Company Culture, Work Satisfaction",1k,17,--,8,--
Aloha Technology,2.9,334,"Company Culture, Work Life Balance, Promotions / Appraisal",1.8k,39,5,39,--
Muthoot Capital Services,3.6,334,"Promotions / Appraisal, Salary & Benefits, Job Security",899,10,2,13,3
Clariant Chemicals,4.2,334,"Company Culture, Work Life Balance, Job Security",1.6k,15,14,45,--
Biz 2 Credit Info Services,3.5,334,Salary & Benefits,1.3k,29,19,50,33
MSP Steel & Power,3.9,334,"Job Security, Work Life Balance, Skill Development / Learning",1k,33,6,20,--
Integrated Wireless Solutions,3.7,334,"Promotions / Appraisal, Job Security, Company Culture",988,17,2,18,--
DCM Shriram Industries,4.1,334,"Work Life Balance, Job Security, Company Culture",1.4k,14,--,3,1
Apmosys Technologies,3.2,334,"Work Satisfaction, Promotions / Appraisal, Company Culture",2.6k,54,14,11,--
Infocepts Technologies,3.5,334,"Job Security, Promotions / Appraisal, Salary & Benefits",3k,40,63,19,3
Agility,4.0,333,"Work Life Balance, Company Culture, Work Satisfaction",1.2k,12,5,51,--
MNC Group,4.2,333,"Company Culture, Work Life Balance, Skill Development / Learning",1.7k,128,--,52,--
Reliance Securities,3.7,333,Work Life Balance,1k,22,--,2,--
Sata Vikas India,3.6,333,"Promotions / Appraisal, Job Security, Company Culture",928,33,--,39,--
The Belgian Waffle co,4.5,333,"Company Culture, Work Life Balance, Work Satisfaction",636,39,2,3,10
Valvoline Cummins,4.0,333,"Company Culture, Work Life Balance, Job Security",1.4k,16,12,29,--
Somic ZF Components,4.2,333,"Company Culture, Work Life Balance, Work Satisfaction",1.1k,16,--,26,--
Coding Ninjas,3.7,333,"Promotions / Appraisal, Job Security, Work Satisfaction",1.3k,57,3,4,11
Padmini VNA Mechatronics,3.9,333,"Company Culture, Work Life Balance, Salary & Benefits",1.3k,27,--,46,9
Autocomp Corporation Panse,3.5,333,"Company Culture, Promotions / Appraisal, Work Life Balance",1.4k,21,--,12,1
Jtekt Sona Automotive India,4.1,333,"Company Culture, Job Security, Skill Development / Learning",847,14,--,64,--
Vascon Engineers,3.8,333,Job Security,1.1k,27,2,10,1
Oceaneering International,4.0,332,"Work Life Balance, Job Security, Company Culture",1.9k,42,3,38,16
TMEIC,3.8,333,Job Security,1.5k,20,3,37,3
Netcore Cloud Private Limited,4.1,332,"Job Security, Company Culture, Work Life Balance",1.6k,32,49,14,47
Kimberly-Clark,4.0,332,"Salary & Benefits, Company Culture, Work Life Balance",1.6k,17,31,24,4
Savista Global Solutions,4.0,332,"Company Culture, Work Life Balance, Work Satisfaction",1.3k,30,35,9,16
Shah Technical Consultants,3.6,332,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",901,19,4,22,--
Fluper,4.0,331,"Work Life Balance, Skill Development / Learning, Company Culture",546,24,5,43,--
"Ministry Of Health, New Delhi",3.9,331,Work Life Balance,872,18,10,32,--
Sub-K IMPACT Solutions,4.2,331,"Company Culture, Work Life Balance, Skill Development / Learning",833,28,--,31,--
Cox & Kings,3.1,331,"Job Security, Promotions / Appraisal, Salary & Benefits",1k,7,--,45,--
Bain & Company,3.8,331,"Company Culture, Salary & Benefits",5.3k,115,32,29,9
Stefanini,2.8,331,"Promotions / Appraisal, Work Satisfaction, Job Security",1.9k,38,6,18,1
Gufic Biosciences,3.3,331,"Promotions / Appraisal, Company Culture, Work Satisfaction",1.3k,13,12,19,--
Indchemie Health Specialities,3.8,331,"Skill Development / Learning, Work Satisfaction, Promotions / Appraisal",899,22,--,25,1
Ircon International,3.9,331,Skill Development / Learning,934,28,--,35,--
Light Microfinance,4.0,331,"Salary & Benefits, Skill Development / Learning, Work Life Balance",866,19,--,19,4
Huron,3.8,331,"Company Culture, Work Life Balance, Salary & Benefits",2.4k,35,120,18,4
Peel-works,3.6,330,"Job Security, Promotions / Appraisal",653,9,--,20,--
Stellar Value Chain Solutions,3.6,330,"Promotions / Appraisal, Company Culture, Work Life Balance",1.4k,37,--,24,--
Cygnet Infotech,3.4,330,"Promotions / Appraisal, Work Satisfaction, Job Security",2.1k,19,1,35,8
Satguru Travels and Tour Services,2.9,330,"Promotions / Appraisal, Company Culture, Work Satisfaction",1.2k,32,8,28,2
Bluechip Corporate Investment Centre,3.7,330,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",995,11,45,22,1
Paperchase Accountancy,3.0,330,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1.6k,33,--,15,16
SBI Payment Services,3.9,330,Work Life Balance,1.2k,23,10,20,--
Park Plus,2.8,339,"Job Security, Promotions / Appraisal, Company Culture",1.8k,54,5,10,--
Ultra Corpotech,4.0,330,"Job Security, Skill Development / Learning, Work Life Balance",1.7k,19,3,6,11
Pitaara,4.2,330,"Company Culture, Work Life Balance, Job Security",402,14,--,--,--
Maharashtra Hybrid Seed Company,4.1,329,"Skill Development / Learning, Company Culture, Work Life Balance",850,7,--,32,3
ESAF CO-OPERATIVE,3.5,330,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",868,22,--,21,--
Kalyani Motors,3.3,329,"Promotions / Appraisal, Company Culture, Work Life Balance",1.2k,20,17,17,--
Adama,4.1,330,"Work Life Balance, Company Culture, Work Satisfaction",1k,18,4,30,--
Global Aluminium,3.8,329,Skill Development / Learning,867,18,--,17,1
Polyhose,3.6,329,"Promotions / Appraisal, Salary & Benefits, Company Culture",1.7k,17,45,20,6
You Broadband,3.9,329,"Work Life Balance, Salary & Benefits",977,16,--,27,--
Vem Technologies,3.7,329,"Job Security, Skill Development / Learning",1.3k,30,3,24,--
SMC Corporation,3.7,329,"Job Security, Work Life Balance",1.9k,31,29,15,--
Oil India,4.3,329,"Work Life Balance, Company Culture, Work Satisfaction",858,21,--,30,--
Signode,3.7,329,Job Security,1.4k,22,--,35,1
SOTC Travel Limited,4.1,329,"Job Security, Company Culture, Skill Development / Learning",1.2k,23,6,28,--
Minda Kosei Aluminum Wheel,4.1,328,"Job Security, Skill Development / Learning, Company Culture",988,21,--,24,--
Entab Infotech,3.2,328,"Promotions / Appraisal, Salary & Benefits, Job Security",1k,33,5,30,--
Ksb Pumps,3.9,328,"Work Life Balance, Job Security, Skill Development / Learning",1.2k,29,66,26,8
Network 18,3.5,328,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",2.4k,28,11,27,1
Network 18,3.5,328,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",2.4k,28,11,27,1
Bal Pharma,3.3,328,"Promotions / Appraisal, Company Culture, Skill Development / Learning",1.2k,22,6,23,--
Statusneo,3.8,329,"Salary & Benefits, Work Life Balance, Company Culture",1.3k,60,23,10,86
Zebronics,3.8,328,"Promotions / Appraisal, Salary & Benefits",1.2k,32,14,22,--
Plasser India,4.0,328,"Job Security, Salary & Benefits, Company Culture",1.6k,23,--,41,--
Sequel Logistics,4.1,328,"Job Security, Company Culture, Work Life Balance",1.1k,18,--,22,1
Advanced Micro Devices,3.7,328,"Promotions / Appraisal, Work Satisfaction, Job Security",2.9k,53,300,15,12
Adani Electricity,3.6,333,"Promotions / Appraisal, Job Security, Company Culture",1.5k,21,--,14,2
GTPL-KCBPL,3.9,328,"Company Culture, Work Life Balance, Work Satisfaction",443,37,--,4,20
Victora Tool Engineers,3.7,327,"Promotions / Appraisal, Company Culture, Work Life Balance",1.2k,9,--,37,--
ITM Group of Institutions,3.3,327,"Salary & Benefits, Promotions / Appraisal, Job Security",1.2k,20,2,22,1
Halliburton,3.6,327,Salary & Benefits,1.3k,32,31,28,5
Telecom Network Solutions,3.9,327,Promotions / Appraisal,1.1k,14,--,23,1
MTR Foods,4.0,327,"Work Life Balance, Job Security, Company Culture",1.1k,25,--,24,--
Red Health,3.5,327,"Promotions / Appraisal, Job Security, Work Life Balance",742,30,2,11,23
BLS International Services,3.5,327,"Promotions / Appraisal, Job Security, Company Culture",1k,21,30,12,7
Computacenter,3.9,327,"Company Culture, Work Life Balance, Job Security",2.4k,43,14,22,5
Silverlink Technologies,3.9,327,"Salary & Benefits, Work Life Balance, Work Satisfaction",360,16,13,31,--
L&T–MHI Power Boilers,3.9,327,"Work Life Balance, Company Culture, Job Security",1.5k,12,--,40,--
Siti Networks,3.9,327,Work Life Balance,990,11,--,27,--
Polyplastics Industries (I),3.8,326,"Job Security, Work Life Balance",1.3k,20,--,26,--
Unique Identification Authority of India,3.8,326,"Promotions / Appraisal, Job Security, Skill Development / Learning",992,12,--,13,--
Apollo Clinic,4.0,326,"Work Life Balance, Company Culture, Skill Development / Learning",976,15,--,21,6
NIKE,4.0,326,"Work Life Balance, Company Culture, Salary & Benefits",2.2k,45,3,22,--
MJ Biopharm,3.5,326,"Work Satisfaction, Promotions / Appraisal, Company Culture",1.3k,19,21,25,1
Sundaram Auto Components,4.0,326,"Skill Development / Learning, Company Culture, Work Life Balance",1.1k,18,--,30,--
Campus Activewear,4.1,326,"Salary & Benefits, Company Culture, Work Life Balance",1.4k,16,4,8,5
Vasan Eye Care Hospitals,3.9,326,"Company Culture, Work Life Balance",688,5,--,26,--
Rithwik Projects,3.9,326,Salary & Benefits,1.1k,35,47,14,2
Phenom,3.5,325,"Promotions / Appraisal, Company Culture, Work Life Balance",2k,48,57,24,196
Ceat Specialty Tyres,3.9,325,"Job Security, Company Culture, Skill Development / Learning",1.2k,20,--,22,--
Airproducts,3.5,325,"Work Life Balance, Salary & Benefits",1.7k,16,--,10,--
Jaguar Security Services,4.5,325,"Salary & Benefits, Company Culture, Work Life Balance",877,26,4,29,--
IIT Bombay,4.4,325,"Company Culture, Work Life Balance, Work Satisfaction",1.7k,29,6,29,1
Kuwait National Petroleum Company,4.4,325,"Work Life Balance, Work Satisfaction, Company Culture",983,22,--,37,--
RSM US in India,3.5,325,"Promotions / Appraisal, Work Satisfaction, Job Security",2.9k,43,367,12,--
Aeronautical Development Agency,4.2,325,"Work Life Balance, Company Culture, Work Satisfaction",1.8k,20,--,23,--
Selec Controls,3.6,325,"Promotions / Appraisal, Company Culture, Work Satisfaction",1.9k,30,1,21,5
Walplast Products,4.0,325,"Company Culture, Work Life Balance, Salary & Benefits",1.2k,34,25,33,7
Harsha Engineers,3.8,325,"Job Security, Skill Development / Learning",1.6k,32,4,39,1
Ceat Specialty Tyres,3.9,325,"Job Security, Company Culture, Skill Development / Learning",1.2k,20,--,22,--
Aeronautical Development Agency,4.2,325,"Work Life Balance, Company Culture, Work Satisfaction",1.8k,20,--,23,--
Labcorp,4.0,325,"Job Security, Company Culture, Work Life Balance",2.1k,44,7,40,9
Zet Town,3.3,325,"Job Security, Promotions / Appraisal, Company Culture",973,35,--,2,6
InfodriveIndia,4.1,325,"Company Culture, Skill Development / Learning, Work Life Balance",497,21,8,114,--
IFFCO Kisan Sanchar,3.5,324,"Job Security, Promotions / Appraisal",732,26,--,48,--
Hyundai Construction Equipment,4.4,324,"Work Life Balance, Company Culture, Job Security",1.4k,20,4,37,1
Telesonic Networks,3.8,324,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",799,8,--,46,--
Lloyd Insulations,3.4,324,"Promotions / Appraisal, Company Culture, Salary & Benefits",1.3k,22,--,28,2
CareEdge Ratings,3.2,324,"Promotions / Appraisal, Company Culture, Salary & Benefits",1.8k,18,3,17,--
Dentsu Aegis Network,3.2,325,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",2.9k,35,1,12,6
VKC Group,3.8,324,Company Culture,1.2k,19,--,25,1
Sureti Insurance Marketing,3.2,326,"Work Satisfaction, Job Security, Promotions / Appraisal",146,60,--,11,1
Allegis Global Solutions,3.3,323,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",1.5k,13,2,19,--
Glorious Insight,3.7,323,Skill Development / Learning,242,4,1,5,--
Corizo,3.9,320,"Company Culture, Work Life Balance, Skill Development / Learning",386,77,--,7,6
Zopper,3.1,323,"Job Security, Company Culture, Work Satisfaction",1.4k,29,7,6,14
JSW One Platforms,2.9,323,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",1.4k,45,3,2,8
AVASOFT,2.7,323,"Job Security, Work Life Balance, Company Culture",1.5k,193,--,21,11
convergys india services,3.5,323,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",1k,29,--,3,--
InsanelyGood,4.1,322,"Skill Development / Learning, Work Life Balance",1.3k,20,--,39,--
TIBCO Software,3.6,322,Work Life Balance,3.3k,48,21,55,12
Scaleneworks,3.5,323,"Promotions / Appraisal, Job Security, Company Culture",1.3k,12,7,5,--
VIKRAN Engineering & Exim,4.1,323,"Work Life Balance, Company Culture, Job Security",1.1k,38,--,17,3
E-Solutions,3.5,322,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",1.4k,14,1,8,--
CityMall,3.3,323,"Job Security, Promotions / Appraisal, Company Culture",1.4k,33,2,13,2
HL Mando,4.1,322,"Company Culture, Job Security, Skill Development / Learning",1.1k,17,--,3,--
Rajsriya Automotive Industries,3.1,322,"Company Culture, Promotions / Appraisal, Work Life Balance",1.2k,16,6,22,1
Patra India,3.6,322,Job Security,1.2k,26,2,1,2
Banco Products,3.4,322,"Promotions / Appraisal, Company Culture, Work Life Balance",1.6k,18,4,21,--
Rushil Decor,4.1,322,"Work Life Balance, Job Security, Company Culture",943,17,--,15,1
Nitco,4.0,322,"Work Life Balance, Company Culture, Salary & Benefits",1.2k,11,102,28,--
DSV - Global Transport and Logistics,3.8,322,"Promotions / Appraisal, Job Security",1.5k,14,1,32,--
Hitech Digital Solutions,3.7,322,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",1.5k,30,30,31,12
Boehringer-Ingelheim,3.9,322,"Company Culture, Work Life Balance, Skill Development / Learning",1.1k,14,16,29,--
Avantor,3.7,324,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",2.3k,34,7,23,11
DCDC Kidney Care,4.1,322,"Work Life Balance, Company Culture, Job Security",522,21,8,6,1
Hindustan Urvarak & Rasayan,3.2,322,Job Security,1.5k,39,--,15,--
Danske IT,3.6,321,Work Life Balance,1.7k,19,--,46,--
Gyproc,4.0,322,"Job Security, Company Culture, Work Life Balance",991,14,--,47,--
Kent plc,4.0,321,"Work Life Balance, Company Culture, Salary & Benefits",661,25,44,1,--
Lucas Indian Service,4.0,321,"Skill Development / Learning, Company Culture, Job Security",971,23,--,21,3
Lloyds Metals And Energy,3.8,321,Job Security,1.1k,34,--,5,--
Unilever Global,3.7,321,"Promotions / Appraisal, Work Satisfaction",478,26,--,4,--
Sheraton Hotels and Resorts,4.0,321,"Job Security, Company Culture, Skill Development / Learning",647,10,--,31,--
Trane Technologies,4.1,321,"Company Culture, Work Life Balance, Job Security",2k,29,--,14,--
Ace Designers,4.1,321,"Job Security, Work Life Balance, Company Culture",1.5k,28,2,37,2
Technosoft Engineering Projects Limited,3.9,321,"Job Security, Company Culture, Work Life Balance",1.3k,32,14,16,15
Highway Industries,3.9,321,"Skill Development / Learning, Work Life Balance",1.3k,22,--,29,--
Techno Electric & Engineering Company,4.0,321,"Job Security, Company Culture, Work Satisfaction",1.2k,21,2,33,8
BIC Cello,4.0,321,"Work Life Balance, Salary & Benefits, Company Culture",970,10,--,23,5
Cadence Design Systems,3.8,321,"Company Culture, Salary & Benefits",2.8k,65,114,39,--
Fino Paytech,3.2,320,"Promotions / Appraisal, Job Security, Company Culture",573,7,--,37,--
AVL,3.6,320,Job Security,1.6k,25,--,32,1
Volvo Trucks,4.1,320,"Work Life Balance, Company Culture, Job Security",1.5k,29,--,29,1
Peregrine Guarding,3.9,320,"Salary & Benefits, Company Culture, Work Life Balance",871,13,--,22,2
Sundaram Motors,3.9,320,"Company Culture, Job Security, Work Life Balance",1.1k,7,--,20,--
Decimal Point Analytics,2.8,320,"Job Security, Promotions / Appraisal, Salary & Benefits",1.9k,45,19,13,--
Dinshaws,3.8,321,Work Life Balance,1k,9,--,19,3
Robosoft Technologies,3.3,320,"Job Security, Promotions / Appraisal, Company Culture",2.2k,45,13,16,71
Inventia Healthcare,4.0,320,"Company Culture, Work Life Balance, Job Security",1.8k,14,4,26,--
Shree Renuka Sugars,4.0,320,"Job Security, Work Life Balance, Company Culture",1.1k,20,2,23,--
6D Technologies,3.0,320,"Work Life Balance, Company Culture, Work Satisfaction",2.5k,47,3,11,--
GE Aerospace,4.1,329,"Company Culture, Job Security, Skill Development / Learning",1.5k,21,--,2,1
KJS Cement,3.6,320,"Promotions / Appraisal, Salary & Benefits, Job Security",1.1k,24,2,25,2
Intelizign Lifecycle Services,3.5,320,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",2.3k,38,23,--,--
MUFG Bank,3.5,320,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",2.3k,18,20,9,--
Omax Autos,3.7,319,"Work Satisfaction, Skill Development / Learning",976,12,--,38,2
ETA Engineering,3.6,319,"Salary & Benefits, Work Life Balance, Promotions / Appraisal",817,9,--,33,--
Dvara KGFS,3.7,319,Promotions / Appraisal,976,18,--,24,2
Nava Limited,3.8,319,"Work Life Balance, Job Security",1.1k,23,1,27,1
GITAM University,3.7,319,Work Life Balance,1.2k,19,6,19,--
Novel Office,4.1,319,"Company Culture, Skill Development / Learning, Work Life Balance",676,69,49,62,12
Veolia Water Technologies,4.3,319,"Company Culture, Work Life Balance, Job Security",1.3k,25,5,21,--
Louis Philippe,4.3,319,"Skill Development / Learning, Company Culture, Work Life Balance",751,11,--,30,--
Wonderla Holidays,4.1,319,"Company Culture, Work Life Balance, Work Satisfaction",1k,19,25,51,--
UNext,3.0,319,"Promotions / Appraisal, Work Satisfaction, Job Security",1.6k,35,993,6,--
M K Agrotech Private Limited,4.5,325,"Company Culture, Work Life Balance, Work Satisfaction",445,39,4,24,--
Aptean,3.2,319,"Promotions / Appraisal, Company Culture, Work Satisfaction",2.3k,51,5,37,--
Kubota Agricultural Machinery India,4.3,319,"Company Culture, Work Life Balance, Job Security",1.3k,19,--,31,3
Brawn Group,3.7,319,Job Security,1k,20,18,18,--
SOPAN,4.0,319,"Job Security, Work Life Balance, Skill Development / Learning",1.1k,21,--,21,1
SAR Group,3.8,318,Promotions / Appraisal,1.4k,13,--,28,7
Tudip Technologies,2.9,318,"Company Culture, Work Life Balance, Job Security",1.5k,76,66,15,12
ICRA Analytics,3.0,318,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",1.5k,45,10,34,43
Clarus Rcm Infotech,2.8,318,"Company Culture, Work Life Balance, Job Security",1k,44,4,9,--
Himadri Speciality Chemical Limited,3.6,318,"Promotions / Appraisal, Work Satisfaction, Company Culture",1.6k,27,--,34,--
Mirza International,3.5,318,"Promotions / Appraisal, Company Culture, Job Security",1.1k,9,6,31,--
Apisero,4.3,318,"Company Culture, Job Security, Work Life Balance",2.7k,66,--,34,--
Indo Farm Equipment,3.1,319,"Job Security, Company Culture, Work Satisfaction",918,14,--,23,--
Machino Plastics,3.8,318,"Job Security, Promotions / Appraisal",1.4k,24,1,14,1
Katerra,3.5,318,"Job Security, Promotions / Appraisal, Company Culture",1.8k,22,--,46,--
MDC Group of Companies,4.8,317,"Company Culture, Work Life Balance, Work Satisfaction",88,3,--,66,--
Competent Software,3.5,317,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",549,7,5,34,--
Merit Data and Technology,3.4,317,"Promotions / Appraisal, Job Security, Salary & Benefits",1.7k,16,--,4,94
Haleon,3.6,329,"Promotions / Appraisal, Work Satisfaction, Job Security",1.2k,44,24,1,--
Gi Group,3.7,318,"Promotions / Appraisal, Work Satisfaction, Job Security",1.2k,18,--,27,3
Holisol Logistics,3.8,317,"Promotions / Appraisal, Salary & Benefits",1.1k,13,--,31,--
Aujas Cybersecurity-NuSummit company,3.6,317,"Promotions / Appraisal, Work Satisfaction",2.3k,27,34,8,168
Rainbow Childrens Hospital,3.8,317,"Job Security, Skill Development / Learning",997,24,11,31,2
Gammon Engineers And Contractors,3.9,316,"Work Satisfaction, Work Life Balance, Job Security",1.1k,21,--,29,1
Global Calcium,3.2,317,"Promotions / Appraisal, Company Culture, Work Satisfaction",1.7k,27,38,15,--
Path Infotech,3.5,316,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1.6k,23,6,27,--
Swastika Investmart,3.8,316,,1.1k,14,7,13,--
Ven Consulting,3.3,316,"Job Security, Promotions / Appraisal, Company Culture",780,34,--,7,--
Telstra,3.9,316,"Work Life Balance, Company Culture, Salary & Benefits",2.8k,57,--,25,27
Lernx,3.9,316,"Skill Development / Learning, Company Culture",67,56,--,1,--
Taco Bell,4.1,316,"Skill Development / Learning, Work Life Balance, Job Security",975,17,--,13,1
Alkyl Amines,4.0,316,"Job Security, Company Culture, Work Life Balance",1.3k,15,7,33,--
Luxor Writing Instruments,3.4,316,"Promotions / Appraisal, Skill Development / Learning, Company Culture",1.1k,12,1,25,--
Springer Nature in India,4.1,316,"Work Life Balance, Company Culture, Job Security",2.4k,39,9,25,25
CapeStart,4.5,316,"Company Culture, Job Security, Skill Development / Learning",592,57,32,126,22
