Name of the company,Average employee rating (out of 5) based on reviews,Total number of employee reviews,Critical Rated for,Number of salary entries submitted by employees,Count of interview experiences shared,Active job listings on AmbitionBox,"Number of benefit reviews (insurance, WFH, leaves, etc.)",Number of company photos uploaded by employees
L&T Technology Services,3.1,6.4k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",42.4k,618,--,415,11
Cholamandalam Investment & Finance,3.8,6.3k,Salary & Benefits,12.6k,265,12,293,37
IIFL Finance,4.0,6.3k,"Work Life Balance, Company Culture, Job Security",13.9k,314,47,433,17
Oracle,3.5,6.2k,Work Life Balance,62.1k,939,1.1k,617,39
Indian Army,4.7,6.2k,"Job Security, Company Culture, Work Life Balance",9.4k,196,--,728,8
Omega Healthcare,3.8,6.2k,"Promotions / Appraisal, Salary & Benefits",26.2k,528,127,390,26
Muthoot Finance,3.7,6.2k,"Promotions / Appraisal, Work Satisfaction",13k,331,58,325,11
JLL,4.1,6.1k,"Job Security, Company Culture, Work Life Balance",24.1k,469,241,540,20
HCL Group,3.5,6.1k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",40.3k,509,--,661,1
eClerx,3.1,6k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",31.5k,623,276,555,26
Virtusa Consulting Services,3.7,5.9k,"Promotions / Appraisal, Work Satisfaction, Job Security",56.5k,656,1.1k,318,23
Piramal Finance,4.2,5.9k,"Company Culture, Work Life Balance, Skill Development / Learning",12.8k,286,2,445,4
DMart,3.9,5.9k,"Job Security, Company Culture",18.1k,526,158,473,16
HSBC Group,3.9,5.8k,"Company Culture, Work Life Balance, Job Security",42.4k,540,141,1.1k,26
Udaan,3.9,5.8k,"Salary & Benefits, Work Life Balance, Skill Development / Learning",15.7k,367,1,755,14
Indiamart Intermesh,3.5,5.8k,"Work Satisfaction, Promotions / Appraisal, Company Culture",20.2k,736,441,432,16
SMFG India Credit,3.9,5.7k,Salary & Benefits,10.5k,199,81,347,17
Aurobindo Pharma,4.0,5.7k,"Job Security, Salary & Benefits, Work Life Balance",20.9k,285,20,468,9
CGI Group,4.0,5.7k,"Work Life Balance, Company Culture, Job Security",46.8k,558,710,398,5
BigBasket,3.9,5.6k,Job Security,19k,459,95,380,33
Siemens,3.9,5.6k,"Work Life Balance, Company Culture, Job Security",33.5k,497,172,632,13
Manappuram Finance,3.9,5.6k,"Work Life Balance, Promotions / Appraisal, Skill Development / Learning",9k,216,15,260,30
Access Healthcare,3.7,5.6k,Job Security,28.2k,375,357,347,9
Shapoorji Pallonji Group,4.1,5.6k,"Job Security, Work Life Balance, Company Culture",15.2k,410,67,632,14
Firstsource Solutions,3.5,5.6k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",24.1k,353,171,570,16
GlobalLogic,3.5,5.6k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",40.4k,675,37,515,21
ICICI Lombard General Insurance Company,3.5,5.6k,"Promotions / Appraisal, Work Satisfaction, Company Culture",20k,349,153,366,15
Tata Capital,4.0,5.6k,"Job Security, Company Culture, Work Life Balance",15.4k,260,3.4k,258,23
Standard Chartered,3.6,5.6k,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",42k,316,--,305,--
Mahindra Finance,3.9,5.5k,Promotions / Appraisal,11.9k,206,439,507,9
Apollo Hospitals,4.1,5.5k,"Job Security, Skill Development / Learning, Company Culture",16.3k,461,183,506,2
